topic,argument,tokenized_argument,label
veganism,"Dear Nina, with all due respect, one would wonder how the rest of the world survived tens of thousands of years, without the Western diet posited by you! It's worth exploring native (so called primitive) infant weaning practices. Almost every tradition has survived without a western Nestlé premix or infant formula or bottled/jar infant food. Where vegan or vegetarian diets are lacking, consider lentils and millets (example finger millet) which are rich in B vitamins and iron and also easily digestible and biologically available. Please don't dismiss vegan or vegetarian diets for infants so easily. There is a wealth of knowledge available in traditions of Asia, Far East, Africa, Near East, Middle East, you know the rest of the non Eurocentric world!","Dear Nina , with all due respect , one would wonder how the rest of the world survived tens of thousands of years , without the Western diet posited by you ! It 's worth exploring native ( so called primitive ) infant weaning practices . Almost every tradition has survived without a western Nestlé premix or infant formula or bottled / jar infant food . Where vegan or vegetarian diets are lacking , consider lentils and millets ( example finger millet ) which are rich in B vitamins and iron and also easily digestible and biologically available . Please do n't dismiss vegan or vegetarian diets for infants so easily . There is a wealth of knowledge available in traditions of Asia , Far East , Africa , Near East , Middle East , you know the rest of the non Eurocentric world !",0
research papers,"I cannot remember a time when all the invited essays on a Room for Debate, by and large, agreed with each other. These times are lauded as the Age of Information. But the simple reality missing from the premise of this debate is having ACCESS to information is not the same as being able to USE information. A research paper, at its core, requires that information be: > obtained; > analyzed; then > utilized. How could this EVER become obsolete? Yes, it is demoralizing that too many students believe that Google relieves them of any obligation to actually acquire skills of investigation, evaluation, and synthesis or that experts like librarians are obsolete. However, when a graduate program's provides a list of companion articles for courses and then the library provides one-click access to each and every article, they both are complicit in contributing to their own obsolescence.","I can not remember a time when all the invited essays on a Room for Debate , by and large , agreed with each other . These times are lauded as the Age of Information . But the simple reality missing from the premise of this debate is having ACCESS to information is not the same as being able to USE information . A research paper , at its core , requires that information be : > obtained ; > analyzed ; then > utilized . How could this EVER become obsolete ? Yes , it is demoralizing that too many students believe that Google relieves them of any obligation to actually acquire skills of investigation , evaluation , and synthesis or that experts like librarians are obsolete . However , when a graduate program 's provides a list of companion articles for courses and then the library provides one - click access to each and every article , they both are complicit in contributing to their own obsolescence .",1
israel,"Regardless of what other commenters think about Palestine and the Palestinians- some of it blatantly racist e.g. that Arabs are a violent people and therefore not worthy of U.S. support, some of it just historically ignorant- e.g. Arafat turned down a peace deal and therefore Palestinians are undeserving of a state forever after - the issue isn't Palestine v. Israel. The issue is whether the U.S. can be an impartial mediator in the dispute. And it cannot. The U.S., for better or for worse, wrongfully or rightfully, has a 'special relationship' with Israel that will always, always, always come first. Regardless of the current state of affairs, of who is on the 'wrong' or 'right' side of the latest iteration of the conflict, the U.S. is in Israel's corner first and the peace process's second. We therefore can never be a true mediator in this issue.","Regardless of what other commenters think about Palestine and the Palestinians- some of it blatantly racist e.g. that Arabs are a violent people and therefore not worthy of U.S. support , some of it just historically ignorant- e.g. Arafat turned down a peace deal and therefore Palestinians are undeserving of a state forever after - the issue is n't Palestine v. Israel . The issue is whether the U.S. can be an impartial mediator in the dispute . And it can not . The U.S. , for better or for worse , wrongfully or rightfully , has a ' special relationship ' with Israel that will always , always , always come first . Regardless of the current state of affairs , of who is on the ' wrong ' or ' right ' side of the latest iteration of the conflict , the U.S. is in Israel 's corner first and the peace process 's second . We therefore can never be a true mediator in this issue .",0
more serious crime,"Prior to the concept, and under Mayor Dinkins, New York was known as the city from hell. Do we want to go back? Let's not make the leap from the Garner case to this bad idea of non enforcement of so called low level offenses.","Prior to the concept , and under Mayor Dinkins , New York was known as the city from hell . Do we want to go back ? Let 's not make the leap from the Garner case to this bad idea of non enforcement of so called low level offenses .",0
women,"I compete in the Miss America pageant system. In two of my interviews last year, I was asked how I failed and how I overcame that failure. Not only does the Miss America Organization fuel confidence in young women and provides scholarship, but it prepares us for real-world job interviews, public speaking, and brings out the servants' heart in all of us. A huge part of the Miss America Organization is community service. Since 2007, when we first partnered with Children's Miracle Network, the women competing in the organization have raised over $8 million JUST for that one charity. Aside from that, we all have a personal platform that we are advocates for including prevention of diseases, standing up against bullying and breaking stereotypes and barriers that are presented against women. I can't speak for every pageant system, but Miss America is a non-profit organization that is made up by dedicated volunteers. Some incredible women have gone through that organization to go on to incredible careers and futures and a lot of them credit their success to the journey and experience they gained from competing in this program.","I compete in the Miss America pageant system . In two of my interviews last year , I was asked how I failed and how I overcame that failure . Not only does the Miss America Organization fuel confidence in young women and provides scholarship , but it prepares us for real - world job interviews , public speaking , and brings out the servants ' heart in all of us . A huge part of the Miss America Organization is community service . Since 2007 , when we first partnered with Children 's Miracle Network , the women competing in the organization have raised over $ 8 million JUST for that one charity . Aside from that , we all have a personal platform that we are advocates for including prevention of diseases , standing up against bullying and breaking stereotypes and barriers that are presented against women . I ca n't speak for every pageant system , but Miss America is a non - profit organization that is made up by dedicated volunteers . Some incredible women have gone through that organization to go on to incredible careers and futures and a lot of them credit their success to the journey and experience they gained from competing in this program .",1
speech,"What part about the First Amendment does the Transit Authority not get? The government may not interfere with freedom of expression. No need to talk about hate speech or other governments or cultures here - we have a culture that offends others because we do not allow any one group to be beyond criticism or protest. An ideal that we do not always live up to, but one which we never cease to strive towards. Free speech is either free or not.","What part about the First Amendment does the Transit Authority not get ? The government may not interfere with freedom of expression . No need to talk about hate speech or other governments or cultures here - we have a culture that offends others because we do not allow any one group to be beyond criticism or protest . An ideal that we do not always live up to , but one which we never cease to strive towards . Free speech is either free or not .",1
pot,"""Marijuana Is Now Big Business"" Wrong - marijuana has been big business for decades. The California Dept. of Agriculture has listed it as the number one cash crop in the state for over 20 years in a row. Now, the business is above ground, where it should be. Regulation, taxation, better education, savings in enforcement and incarceration costs - everybody wins. We are slowly now heading in the right direction - ending the biggest and most widespread wrongful jailing of American citizens since slavery. It can't happen quick enough.",""" Marijuana Is Now Big Business "" Wrong - marijuana has been big business for decades . The California Dept . of Agriculture has listed it as the number one cash crop in the state for over 20 years in a row . Now , the business is above ground , where it should be . Regulation , taxation , better education , savings in enforcement and incarceration costs - everybody wins . We are slowly now heading in the right direction - ending the biggest and most widespread wrongful jailing of American citizens since slavery . It ca n't happen quick enough .",1
overcrowding,"Wrong! Two reasons. One, Malthusianism does not hold, since resource production can go up exponentially too. Two, the population will peak out at 12-15 billion or so, when it will start to shrink, as it has been doing in Europe for decades now. Uncontrolled extrapolation is a trap to avoid.","Wrong ! Two reasons . One , Malthusianism does not hold , since resource production can go up exponentially too . Two , the population will peak out at 12 - 15 billion or so , when it will start to shrink , as it has been doing in Europe for decades now . Uncontrolled extrapolation is a trap to avoid .",0
home schoolers,"""Why should a family be saddled with the tax costs of paying for public school if they receive no benefit?"" - From Ryan above. A well educated public is what leads our country to economic success, medical advancements, and a more evolved society. So perhaps if you home-school and wish to not pay taxes towards education, you should opt out of any benefit given to you that is created as a by-product of public education.",""" Why should a family be saddled with the tax costs of paying for public school if they receive no benefit ? "" - From Ryan above . A well educated public is what leads our country to economic success , medical advancements , and a more evolved society . So perhaps if you home - school and wish to not pay taxes towards education , you should opt out of any benefit given to you that is created as a by - product of public education .",0
sanctions,"The US embargo on Cuba only helps maintain the status quo in Cuba while being a self inflicted wound on the US, especially the Gulf States of Alabama, Louisianna and Mississippi. The embargo has throttled down major trade along the Mississippi affecting trade from New Orleans to Chicago. The lost trade and development is astronomical. We must remember that Cuba was one of our most important trading partners at the time the embargo was imposed. The embargo had a direct impact on the decline of southern economies. US policy is driven by emotion rather than any realistic policy that might bring about change. How long must the people of the United States be forced to maintain a foolish policy driven by the self interests of a small politically connected community?","The US embargo on Cuba only helps maintain the status quo in Cuba while being a self inflicted wound on the US , especially the Gulf States of Alabama , Louisianna and Mississippi . The embargo has throttled down major trade along the Mississippi affecting trade from New Orleans to Chicago . The lost trade and development is astronomical . We must remember that Cuba was one of our most important trading partners at the time the embargo was imposed . The embargo had a direct impact on the decline of southern economies . US policy is driven by emotion rather than any realistic policy that might bring about change . How long must the people of the United States be forced to maintain a foolish policy driven by the self interests of a small politically connected community ?",0
